topo,seed,flowNum,cc,randOffset,slots,multiFactor,state,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil
fat,118,208,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,119,224,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,119,224,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,120,240,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,120,240,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,121,256,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,121,256,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,122,272,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,122,272,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,123,288,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,123,288,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,123,288,t,1,100,0.5,-1,-1,-1,-1,-1,-1
